,Inter,Auto,Template
Website 1,0.9018763029881862,0.8110957004160887,0.8358288770053476
Website 2,0.9383110195674562,0.728822589238146,0.5791629563668744
Website 3,0.8746957616449853,0.9006661732050333,0.5112426035502958
