,,0
Auto,count,156.0
Auto,mean,5.0
Auto,std,1.4591203713417602
Auto,min,2.0
Auto,25%,4.0
Auto,50%,5.0
Auto,75%,6.0
Auto,max,7.0
Inter,count,156.0
Inter,mean,4.7243589743589745
Inter,std,1.7360456287623167
Inter,min,1.0
Inter,25%,3.0
Inter,50%,5.0
Inter,75%,6.0
Inter,max,7.0
Template,count,156.0
Template,mean,5.076923076923077
Template,std,1.2676544840053454
Template,min,2.0
Template,25%,4.0
Template,50%,5.0
Template,75%,6.0
Template,max,7.0
