,attraktiv,attraktiv,attraktiv
0,6,7,7
1,6,6,4
2,3,3,5
3,3,2,2
4,4,4,6
5,5,6,5
6,6,3,4
7,6,7,7
8,5,7,7
9,4,3,4
10,6,7,7
11,5,2,2
12,6,7,7
